Origen,Destino,Tipo_Origen,Tipo_Destino,Latitud_Origen,Longitud_Origen,Latitud_Destino,Longitud_Destino,Tiempo_Recorrido,Distancia_km,Costo,Fecha_Hora
Los Olivos,San Borja,Punto de Entrega,Centro de Distribución,-12.097329767372258,-77.0758124809742,-12.019817550126303,-76.86283340128352,48:27,25.8,64.77,2024-09-28 21:12:51
Miraflores,Barranco,Centro de Distribución,Punto de Entrega,-12.040206214224977,-77.00127802570539,-11.82072424331288,-76.9083700882325,15:31,4.47,12.88,2024-10-02 21:12:51
San Isidro,Ate,Punto de Entrega,Punto de Entrega,-11.808070334931408,-76.88144211090479,-11.946296661797785,-77.13209859924386,75:36,45.19,71.68,2024-09-28 21:12:51
Ate,La Molina,Punto de Entrega,Punto de Entrega,-11.940465191608027,-76.88391332466198,-11.924631742731936,-76.91403010992506,64:23,25.0,34.22,2024-09-23 21:12:51
Barranco,San Borja,Centro de Distribución,Punto de Entrega,-12.050633022045675,-76.83650466227718,-12.111103558278467,-77.19908956288758,70:30,38.07,56.37,2024-10-14 21:12:51
Lima Centro,Chorrillos,Centro de Distribución,Punto de Entrega,-11.851686764146503,-76.84432211232061,-12.000445816223463,-77.02455252357197,17:33,12.79,23.85,2024-09-25 21:12:51
Surco,Comas,Centro de Distribución,Punto de Entrega,-12.03881560336494,-77.16455080715212,-11.889131389702623,-76.95618687760381,44:31,22.58,34.81,2024-10-10 21:12:51
San Juan de Lurigancho,San Borja,Punto de Entrega,Centro de Distribución,-12.012666878568538,-76.86312480129497,-12.16660498115972,-77.0255785544882,23:41,7.18,24.66,2024-09-28 21:12:51
Magdalena,Lince,Centro de Distribución,Punto de Entrega,-11.818108068820711,-77.03675524249172,-11.803383660114942,-76.98939133495008,76:00,41.8,58.2,2024-09-22 21:12:51
Chorrillos,San Juan de Lurigancho,Punto de Entrega,Centro de Distribución,-12.104871317233146,-76.81525530122032,-12.007393833698995,-76.8874524740175,25:03,19.04,51.15,2024-09-28 21:12:51
Jesús María,Surco,Centro de Distribución,Punto de Entrega,-12.007632401627745,-77.03571059487457,-11.83222421398857,-76.80606017808942,16:32,3.8,13.97,2024-10-17 21:12:51
San Borja,Surco,Punto de Entrega,Punto de Entrega,-12.00352647012867,-76.9726767799684,-12.056648457658788,-76.9023550265459,80:25,15.78,46.98,2024-10-10 21:12:51
Barranco,Miraflores,Centro de Distribución,Punto de Entrega,-12.151527379341516,-77.05230555517217,-11.985238061425385,-76.97666102053874,64:03,18.51,34.08,2024-10-16 21:12:51
San Borja,Breña,Centro de Distribución,Punto de Entrega,-12.053280925817177,-77.02929984540387,-11.873475456385684,-77.06201417118352,11:54,2.74,11.22,2024-10-18 21:12:51
Lince,Ate,Centro de Distribución,Punto de Entrega,-12.162918895089971,-77.1958104034882,-12.015501110006102,-76.86457448787074,42:23,14.17,47.41,2024-10-17 21:12:51
San Borja,La Molina,Centro de Distribución,Punto de Entrega,-12.178417266890259,-76.9807887999581,-12.024962080849729,-77.1544794268298,30:15,12.82,20.38,2024-10-08 21:12:51
Lince,San Miguel,Centro de Distribución,Punto de Entrega,-11.985058267786748,-76.86572179229115,-11.978210897821366,-77.1872239579868,5:33,3.78,10.59,2024-10-19 21:12:51
Comas,San Juan de Lurigancho,Punto de Entrega,Punto de Entrega,-11.868456185931247,-77.16241640615294,-11.869734007064665,-77.02385507163177,44:36,29.2,55.23,2024-10-06 21:12:51
Magdalena,Los Olivos,Centro de Distribución,Punto de Entrega,-11.846845415867863,-77.07278729470774,-12.092088892073793,-77.01317490935034,109:31,34.73,80.2,2024-10-11 21:12:51
Surco,San Isidro,Punto de Entrega,Centro de Distribución,-11.825934843126738,-76.87675917607395,-12.014099614491428,-76.82965037862732,56:23,37.17,64.08,2024-10-17 21:12:51
Ate,San Miguel,Centro de Distribución,Punto de Entrega,-11.963865483547448,-77.00350036808901,-11.898602156013364,-77.1643924916254,22:18,4.99,17.86,2024-10-13 21:12:51
Ate,Chorrillos,Centro de Distribución,Punto de Entrega,-12.18454970779312,-76.90105877581713,-12.163250840002174,-77.05206450016419,35:07,23.14,53.39,2024-09-20 21:12:51
Lince,San Juan de Lurigancho,Centro de Distribución,Punto de Entrega,-12.081688536887427,-77.10414807129075,-12.095622602322628,-77.05634351010035,26:42,10.46,18.04,2024-10-15 21:12:51
Jesús María,Chorrillos,Centro de Distribución,Punto de Entrega,-11.817920758621534,-76.92924917067796,-11.982057531687108,-77.10654788060562,87:30,61.69,123.85,2024-10-02 21:12:51
Breña,Jesús María,Punto de Entrega,Punto de Entrega,-11.80169141524924,-77.1318809971113,-12.110103206213747,-76.92406566777855,47:42,28.49,41.4,2024-10-19 21:12:51
La Molina,Comas,Punto de Entrega,Centro de Distribución,-12.073015861702116,-77.08112349257426,-12.017854884943972,-76.87239607555591,27:45,5.86,22.64,2024-10-05 21:12:51
Magdalena,Surco,Punto de Entrega,Punto de Entrega,-12.148691669553736,-77.04869412608366,-11.914737241679811,-77.12010484080947,91:00,20.49,65.05,2024-09-29 21:12:51
San Miguel,La Victoria,Centro de Distribución,Punto de Entrega,-12.080907828636198,-77.11383160184047,-11.88699660498036,-77.1647103315246,36:08,16.44,24.99,2024-09-22 21:12:51
Miraflores,San Miguel,Punto de Entrega,Centro de Distribución,-12.082660226295587,-77.09144303525112,-12.009134264104617,-76.87733091928553,101:09,61.36,118.02,2024-10-12 21:12:51
San Miguel,Rímac,Centro de Distribución,Punto de Entrega,-12.126666278059053,-76.92021336440577,-11.954410074647372,-76.83638949017843,56:24,32.88,61.56,2024-10-18 21:12:51
Jesús María,La Victoria,Punto de Entrega,Centro de Distribución,-11.82305727331478,-76.94327829438487,-11.988060140022634,-77.11534890648771,99:55,61.13,139.72,2024-10-07 21:12:51
