Origen,Destino,Tipo_Origen,Tipo_Destino,Latitud_Origen,Longitud_Origen,Latitud_Destino,Longitud_Destino,Tiempo_Recorrido,Distancia_km,Costo
Bulevar Lurín 479,Camino San Juan de Miraflores 85,Centro de Distribución,Punto de Entrega,-12.113710893098782,-77.00139217446463,-11.83012551814829,-76.98767228172643,82:01,37.45,64.72
Av. Arequipa,Pasaje Brasil 31,Centro de Distribución,Punto de Entrega,-12.192961020856345,-76.88108995976563,-12.116546869895465,-77.04691816271631,65:24,43.91,77.81
Camino San Luis 437,Av. La Molina,Punto de Entrega,Punto de Entrega,-11.880777625088479,-77.19808914580757,-12.026877218940404,-76.83619269221816,13:58,4.16,10.71
Paseo Angamos 449,Jr. Sucre 89,Centro de Distribución,Punto de Entrega,-11.829447011060045,-76.86736356434434,-11.895041334356218,-76.86338696095696,90:15,31.34,55.08
Ctra. Arequipa 485,Ruta La Paz 102,Centro de Distribución,Punto de Entrega,-11.95935044635297,-76.88324816851589,-11.818477560197847,-76.83318332541955,58:27,11.66,26.63
Pasaje San Bartolo 47,Paseo Angamos 395,Centro de Distribución,Punto de Entrega,-12.008070673984992,-76.86687791146711,-11.938370847315875,-77.08740805761279,9:22,1.65,10.34
Paseo Vargas 85,Diagonal Olaya 115,Centro de Distribución,Punto de Entrega,-11.808745444298923,-77.07132997967032,-11.883721370991992,-77.04013671119289,105:34,30.39,101.06
Camino Cercado 322,Calle La Paz 461,Centro de Distribución,Punto de Entrega,-12.097814144248323,-76.88758352812579,-11.951382291054422,-76.87132035769551,12:33,9.3,18.38
Camino Villa El Salvador 25,Bulevar San Borja 227,Centro de Distribución,Punto de Entrega,-12.049259006772607,-77.10012105820752,-11.88837361885787,-76.8194647957505,20:45,12.89,19.99
Jr. Santa Rosa 225,Pasaje La Marina 387,Centro de Distribución,Punto de Entrega,-12.094561290775957,-77.16686311188019,-12.011285769661969,-77.12272539826266,64:33,13.48,53.76
Bulevar Chorrillos 260,Camino Villa El Salvador 105,Punto de Entrega,Punto de Entrega,-11.997595995655395,-77.16546871603877,-12.040583042198225,-76.89206769581043,76:04,17.08,55.55
Jr. Santa María 167,Calle Comas 136,Punto de Entrega,Punto de Entrega,-12.049599049744748,-77.14696043629306,-11.94697327257164,-76.86298643380925,99:17,60.99,150.21
Diagonal Santa Rosa 408,Ruta La Molina 484,Punto de Entrega,Centro de Distribución,-12.134774110119748,-76.82935409650345,-11.946760725547996,-76.88963972563585,46:37,9.94,29.79
Ctra. San Juan 237,Bulevar La Victoria 289,Punto de Entrega,Centro de Distribución,-12.08533276593626,-77.0503185201829,-12.023215421937316,-76.89450028645808,33:47,11.14,22.43
Ctra. El Sol 369,Bulevar Chorrillos 183,Punto de Entrega,Punto de Entrega,-12.14143322936376,-76.90268453639526,-12.128191976444484,-77.02828424996008,34:25,22.11,44.53
Calle Granados 334,Diagonal Jesús María 423,Punto de Entrega,Centro de Distribución,-12.140775132782727,-76.98789522678175,-11.82459082244348,-77.005058094022,21:37,8.82,30.9
Camino San Miguel 28,Diagonal La Punta 26,Punto de Entrega,Centro de Distribución,-11.948256185878249,-77.00259267129252,-12.040425668397942,-77.08737540501808,74:41,39.35,86.41
Paseo Santa Anita 447,Jr. Santa Lucía 120,Centro de Distribución,Punto de Entrega,-12.042130384804159,-76.86863668733699,-11.921450713595801,-77.11950928673046,39:31,31.56,44.27
Calle Sucre 140,Paseo Villa María del Triunfo 296,Centro de Distribución,Punto de Entrega,-11.949637751195144,-77.11351148457236,-11.931686898136965,-77.08367817098886,49:37,15.03,26.4
Ruta San Isidro 12,Av. Ate 45,Punto de Entrega,Centro de Distribución,-11.88330173683618,-77.02232752170472,-11.812155493303221,-76.96068564325759,8:18,5.42,13.34
Jr. El Agustino 455,Av. Velasco Astete,Punto de Entrega,Punto de Entrega,-12.075301495800183,-76.99642427063377,-11.933572624460043,-77.09935224270566,64:20,27.79,77.27
Ruta Benavides 186,Diagonal Santa Anita 231,Punto de Entrega,Punto de Entrega,-12.075115872519545,-77.14644635988205,-12.17015955376651,-76.9910409140979,74:51,23.5,58.68
Camino Cercado 344,Calle Mendoza 358,Punto de Entrega,Punto de Entrega,-11.921622739802158,-77.09434145623294,-12.170573169282473,-77.09733076869816,34:01,10.94,32.27
Diagonal San Luis 277,Pasaje Vargas 463,Punto de Entrega,Punto de Entrega,-12.149381466002692,-77.17494037296903,-11.882267004967417,-77.11374447579209,90:42,38.84,92.26
Ctra. Miraflores 311,Jr. Santa María 447,Centro de Distribución,Punto de Entrega,-12.09072322583142,-77.14810394618789,-11.850870328385767,-76.80034874602154,7:50,4.18,12.27
Calle San Juan de Miraflores 490,Calle Nicolás de Piérola,Punto de Entrega,Punto de Entrega,-11.985876679591572,-77.18159942014704,-12.097664089456538,-76.85574015122982,63:16,36.03,85.8
Ruta Cercado 99,Calle Los Castaños,Punto de Entrega,Punto de Entrega,-11.844269040643544,-77.15903105058885,-11.993915269305955,-77.0067767535365,101:39,17.25,67.38
Calle Angamos Oeste,Jr. José Pardo 234,Centro de Distribución,Punto de Entrega,-11.910130178580888,-77.07818474023854,-12.05133069511615,-76.99088637311132,83:16,16.67,52.02
Av. Pachacamac 149,Camino Pueblo Libre 140,Centro de Distribución,Punto de Entrega,-11.924155896604512,-76.84918942454371,-11.96865038771911,-77.1144198448455,81:27,58.31,130.2
Ruta Barranco 119,Av. El Sol 170,Centro de Distribución,Punto de Entrega,-11.821031523054215,-76.97500021403927,-12.03775319720834,-77.04445665103101,48:32,32.94,60.9
Pasaje Santa Lucía 357,Jr. Granados 102,Centro de Distribución,Punto de Entrega,-12.046639894048385,-76.83940598894566,-12.196943642159026,-76.8027320403403,12:56,6.49,14.1
Ruta Lurín 210,Jr. San Juan de Miraflores 470,Centro de Distribución,Punto de Entrega,-12.126056857628434,-76.93657222723374,-12.142900565360211,-76.90722167752176,6:10,3.74,9.61
Pasaje Benavides 80,Av. Pachacamac 149,Punto de Entrega,Centro de Distribución,-12.190080793587859,-76.88366546150165,-12.093554081998361,-77.01823268107024,20:41,11.59,30.71
Diagonal Arequipa 233,Jr. San Martín 14,Centro de Distribución,Punto de Entrega,-12.149803041730353,-76.86076779046311,-11.811188359455725,-76.85725525253808,26:48,5.51,23.35
Av. Callao 65,Av. Olaya 454,Centro de Distribución,Punto de Entrega,-12.084319809245486,-77.09907538882344,-11.940547618764608,-77.18641335725331,105:48,23.15,35.71
